"NDB_No","Shrt_Desc","Water_(g)","Energ_Kcal","Protein_(g)","Lipid_Tot_(g)","Ash_(g)","Carbohydrt_(g)","Fiber_TD_(g)","Sugar_Tot_(g)","Calcium_(mg)","Iron_(mg)","Magnesium_(mg)","Phosphorus_(mg)","Potassium_(mg)","Sodium_(mg)","Zinc_(mg)","Copper_(mg)","Manganese_(mg)","Selenium_(µg)","Vit_C_(mg)","Thiamin_(mg)","Riboflavin_(mg)","Niacin_(mg)","Panto_Acid_mg)","Vit_B6_(mg)","Folate_Tot_(µg)","Folic_Acid_(µg)","Food_Folate_(µg)","Folate_DFE_(µg)","Choline_Tot_ (mg)","Vit_B12_(µg)","Vit_A_IU","Vit_A_RAE","Retinol_(µg)","Alpha_Carot_(µg)","Beta_Carot_(µg)","Beta_Crypt_(µg)","Lycopene_(µg)","Lut+Zea_ (µg)","Vit_E_(mg)","Vit_D_(µg)","Vit_D_(IU)","Vit_K_(µg)","FA_Sat_(g)","FA_Mono_(g)","FA_Poly_(g)","Cholestrl_(mg)","GmWt_1","GmWt_Desc1","GmWt_2","GmWt_Desc2","Refuse_Pct","CnCaption","CnType"
"16014","BEANS,BLACK,MATURE SEEDS,RAW","11.02","341.0","21.6","1.42","3.6","62.36","15.5","2.12","123.0","5.02","171.0","352.0","1483.0","5.0","3.65","0.841","1.06","3.2","0.0","0.9","0.193","1.955","0.899","0.286","444.0","0.0","444.0","444.0","66.4","0.0","17.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.21","0.0","0.0","5.6","0.366","0.123","0.61","0.0","194.0","1 cup","12.1","1 tbsp","0.0","黑豆","五谷"
"16022","BEANS,FRENCH,MATURE SEEDS,RAW","10.77","343.0","18.81","2.02","4.3","64.11","25.2","0.0","186.0","3.4","188.0","304.0","1316.0","18.0","1.9","0.44","1.2","12.9","4.6","0.535","0.221","2.083","0.789","0.401","399.0","0.0","399.0","399.0","0.0","0.0","8.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.221","0.138","1.207","0.0","184.0","1 cup","0.0","0.0","0.0","豆角","蔬菜"
"16032","BEANS,KIDNEY,RED,MATURE SEEDS,RAW","11.75","337.0","22.53","1.06","3.37","61.29","15.2","2.1","83.0","6.69","138.0","406.0","1359.0","12.0","2.79","0.699","1.111","3.2","4.5","0.608","0.215","2.11","0.78","0.397","394.0","0.0","394.0","394.0","65.9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.21","0.0","0.0","5.6","0.154","0.082","0.586","0.0","184.0","1 cup","12.2","1 tbsp","0.0","芸豆","五谷"
"16080","MUNG BNS,MATURE SEEDS,RAW","9.05","347.0","23.86","1.15","3.32","62.62","16.3","6.6","132.0","6.74","189.0","367.0","1246.0","15.0","2.68","0.941","1.035","8.2","4.8","0.621","0.233","2.251","1.91","0.382","625.0","0.0","625.0","625.0","97.9","0.0","114.0","6.0","0.0","0.0","68.0","0.0","0.0","0.0","0.51","0.0","0.0","9.0","0.348","0.161","0.384","0.0","207.0","1 cup","13.0","1 tbsp","0.0","绿豆","五谷"
"16087","PEANUTS,ALL TYPES,RAW","6.5","567.0","25.8","49.24","2.33","16.13","8.5","3.97","92.0","4.58","168.0","376.0","705.0","18.0","3.27","1.144","1.934","7.2","0.0","0.64","0.135","12.066","1.767","0.348","240.0","0.0","240.0","240.0","52.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8.33","0.0","0.0","0.0","6.834","24.429","15.559","0.0","146.0","1 cup","28.35","1 oz","0.0","花生","水果"
"16108","SOYBEANS,MATURE SEEDS,RAW","8.54","446.0","36.49","19.94","4.87","30.16","9.3","7.33","277.0","15.7","280.0","704.0","1797.0","2.0","4.89","1.658","2.517","17.8","6.0","0.874","0.87","1.623","0.793","0.377","375.0","0.0","375.0","375.0","115.9","0.0","22.0","1.0","0.0","0.0","13.0","0.0","0.0","0.0","0.85","0.0","0.0","47.0","2.884","4.404","11.255","0.0","186.0","1 cup","0.0","0.0","0.0","黄豆","五谷"
"16235","SILK PLN,SOYMILK","91.53","41.0","2.88","1.65","0.65","3.29","0.4","2.47","123.0","0.44","16.0","0.0","123.0","49.0","0.25","0.0","0.0","2.3","0.0","0.0","0.21","0.0","0.0","0.0","10.0","0.0","10.0","0.0","0.0","1.23","206.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.2","49.0","0.0","0.206","0.0","0.0","0.0","243.0","1 cup","0.0","0.0","0.0","豆浆","饮料"
"16281","HOUSE FOODS PREMIUM FIRM TOFU","82.87","85.0","9.98","4.19","1.05","1.91","0.9","0.4","149.0","1.69","0.0","0.0","0.0","33.0","0.0","0.0","0.0","0.0","1.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.71","0.97","2.51","0.0","56.0","2 oz","84.0","3 oz","0.0","豆腐","豆制品"
"17224","LAMB,GROUND,RAW","59.47","282.0","16.56","23.41","0.87","0.0","0.0","0.0","16.0","1.55","21.0","157.0","222.0","59.0","3.41","0.101","0.019","18.8","0.0","0.11","0.21","5.96","0.65","0.13","18.0","0.0","18.0","18.0","69.3","2.31","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.2","0.1","2.0","3.6","10.19","9.6","1.85","73.0","28.35","1 oz","113.0","4 oz","0.0","羊肉","肉类"
"20054","RICE,WHITE,GLUTINOUS,RAW","10.46","370.0","6.81","0.55","0.49","81.68","2.8","0.0","11.0","1.6","23.0","71.0","77.0","7.0","1.2","0.171","0.974","15.1","0.0","0.18","0.055","2.145","0.824","0.107","7.0","0.0","7.0","7.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.111","0.2","0.198","0.0","185.0","1 cup","0.0","0.0","0.0","糯米","主食"
"20109","NOODLES,EGG,DRY,ENRICHED","9.01","384.0","14.16","4.44","1.12","71.27","3.3","1.88","35.0","4.01","58.0","241.0","244.0","21.0","1.92","0.297","0.855","78.8","0.0","1.133","0.426","8.387","0.912","0.216","230.0","201.0","29.0","370.0","78.7","0.29","62.0","17.0","17.0","0.0","2.0","1.0","0.0","110.0","0.37","0.3","11.0","0.5","1.18","1.252","1.331","84.0","38.0","1 cup","57.0","2 oz","0.0","面条","主食"
"20450","RICE,WHITE,MEDIUM-GRAIN,RAW,UNENR","12.89","360.0","6.61","0.58","0.58","79.34","0.0","0.0","9.0","0.8","35.0","108.0","86.0","1.0","1.16","0.11","1.1","0.0","0.0","0.07","0.048","1.6","1.342","0.145","9.0","0.0","9.0","9.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.158","0.181","0.155","0.0","195.0","1 cup","0.0","0.0","0.0","米","主食"
"20581","WHEAT FLR,WHITE,ALL-PURPOSE,ENR,UNBLEACHED","11.92","364.0","10.33","0.98","0.47","76.31","2.7","0.27","15.0","4.64","22.0","108.0","107.0","2.0","0.7","0.144","0.682","33.9","0.0","0.785","0.494","5.904","0.438","0.044","183.0","154.0","29.0","291.0","0.0","0.0","2.0","0.0","0.0","0.0","1.0","0.0","0.0","79.0","0.23","0.0","0.0","0.3","0.155","0.087","0.413","0.0","125.0","1 cup","0.0","0.0","0.0","面","主食"
