"NDB_No","Shrt_Desc","Water_(g)","Energ_Kcal","Protein_(g)","Lipid_Tot_(g)","Ash_(g)","Carbohydrt_(g)","Fiber_TD_(g)","Sugar_Tot_(g)","Calcium_(mg)","Iron_(mg)","Magnesium_(mg)","Phosphorus_(mg)","Potassium_(mg)","Sodium_(mg)","Zinc_(mg)","Copper_(mg)","Manganese_(mg)","Selenium_(µg)","Vit_C_(mg)","Thiamin_(mg)","Riboflavin_(mg)","Niacin_(mg)","Panto_Acid_mg)","Vit_B6_(mg)","Folate_Tot_(µg)","Folic_Acid_(µg)","Food_Folate_(µg)","Folate_DFE_(µg)","Choline_Tot_ (mg)","Vit_B12_(µg)","Vit_A_IU","Vit_A_RAE","Retinol_(µg)","Alpha_Carot_(µg)","Beta_Carot_(µg)","Beta_Crypt_(µg)","Lycopene_(µg)","Lut+Zea_ (µg)","Vit_E_(mg)","Vit_D_(µg)","Vit_D_(IU)","Vit_K_(µg)","FA_Sat_(g)","FA_Mono_(g)","FA_Poly_(g)","Cholestrl_(mg)","GmWt_1","GmWt_Desc1","GmWt_2","GmWt_Desc2","Refuse_Pct","CnCaption","CnType"
"11167","CORN,SWT,YEL,RAW","76.05","86.0","3.27","1.35","0.62","18.7","2.0","6.26","2.0","0.52","37.0","89.0","270.0","15.0","0.46","0.054","0.163","0.6","6.8","0.155","0.055","1.77","0.717","0.093","42.0","0.0","42.0","42.0","23.0","0.0","187.0","9.0","0.0","16.0","47.0","115.0","0.0","644.0","0.07","0.0","0.0","0.3","0.325","0.432","0.487","0.0","145.0","1 cup","143.0","1 ear,  large (7-3/4"" to 9"" long) yields","64.0","玉米","五谷"
"11205","CUCUMBER,WITH PEEL,RAW","95.23","15.0","0.65","0.11","0.38","3.63","0.5","1.67","16.0","0.28","13.0","24.0","147.0","2.0","0.2","0.041","0.079","0.3","2.8","0.027","0.033","0.098","0.259","0.04","7.0","0.0","7.0","7.0","6.0","0.0","105.0","5.0","0.0","11.0","45.0","26.0","0.0","23.0","0.03","0.0","0.0","16.4","0.037","0.005","0.032","0.0","52.0",".5 cup, slices","301.0","1 cucumber,  (8-1/4"")","3.0","黄瓜","蔬菜"
"11209","EGGPLANT,RAW","92.3","25.0","0.98","0.18","0.66","5.88","3.0","3.53","9.0","0.23","14.0","24.0","229.0","2.0","0.16","0.081","0.232","0.3","2.2","0.039","0.037","0.649","0.281","0.084","22.0","0.0","22.0","22.0","6.9","0.0","23.0","1.0","0.0","0.0","14.0","0.0","0.0","36.0","0.3","0.0","0.0","3.5","0.034","0.016","0.076","0.0","82.0","1 cup, cubes","458.0","1 eggplant, peeled (yield from 1-1/4 lb)","19.0","茄子","蔬菜"
"11228","JEW'S EAR,(PEPEAO),RAW","92.59","25.0","0.48","0.04","0.15","6.75","0.0","0.0","16.0","0.56","25.0","14.0","43.0","9.0","0.66","0.445","0.101","11.1","0.6","0.081","0.204","0.07","1.99","0.088","19.0","0.0","19.0","19.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","99.0","1 cup, slices","6.0","1 piece","2.0","木耳","蔬菜"
"11253","LETTUCE,GRN LEAF,RAW","94.98","15.0","1.36","0.15","0.62","2.87","1.3","0.78","36.0","0.86","13.0","29.0","194.0","28.0","0.18","0.029","0.25","0.6","9.2","0.07","0.08","0.375","0.134","0.09","38.0","0.0","38.0","38.0","13.6","0.0","7405.0","370.0","0.0","0.0","4443.0","0.0","0.0","1730.0","0.22","0.0","0.0","126.3","0.02","0.006","0.082","0.0","36.0","1 cup, shredded","360.0","1 head","36.0","生菜","蔬菜"
"11254","LOTUS ROOT,RAW","79.1","74.0","2.6","0.1","0.97","17.23","4.9","0.0","45.0","1.16","23.0","100.0","556.0","40.0","0.39","0.257","0.261","0.7","44.0","0.16","0.22","0.4","0.377","0.258","13.0","0.0","13.0","13.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.03","0.02","0.02","0.0","81.0","10 slices,  (2-1/2"" dia)","115.0","1 root,  (9-1/2"" long)","21.0","藕","蔬菜"
"11260","MUSHROOMS,WHITE,RAW","92.45","22.0","3.09","0.34","0.85","3.26","1.0","1.98","3.0","0.5","9.0","86.0","318.0","5.0","0.52","0.318","0.047","9.3","2.1","0.081","0.402","3.607","1.497","0.104","17.0","0.0","17.0","17.0","17.3","0.04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.01","0.2","7.0","0.0","0.05","0.0","0.16","0.0","70.0","1 cup, pieces or slices","96.0","1 cup, whole","3.0","蘑菇","蔬菜"
"11282","ONIONS,RAW","89.11","40.0","1.1","0.1","0.35","9.34","1.7","4.24","23.0","0.21","10.0","29.0","146.0","4.0","0.17","0.039","0.129","0.5","7.4","0.046","0.027","0.116","0.123","0.12","19.0","0.0","19.0","19.0","6.1","0.0","2.0","0.0","0.0","0.0","1.0","0.0","0.0","4.0","0.02","0.0","0.0","0.4","0.042","0.013","0.017","0.0","160.0","1 cup, chopped","115.0","1 cup, sliced","10.0","洋葱","蔬菜"
"11304","PEAS,GREEN,RAW","78.86","81.0","5.42","0.4","0.87","14.45","5.1","5.67","25.0","1.47","33.0","108.0","244.0","5.0","1.24","0.176","0.41","1.8","40.0","0.266","0.132","2.09","0.104","0.169","65.0","0.0","65.0","65.0","28.4","0.0","765.0","38.0","0.0","21.0","449.0","0.0","0.0","2477.0","0.13","0.0","0.0","24.8","0.071","0.035","0.187","0.0","145.0","1 cup","0.0","0.0","62.0","豌豆","蔬菜"
"11316","PEAS,MATURE SEEDS,SPROUTED,RAW","62.27","124.0","8.8","0.68","1.14","27.11","0.0","0.0","36.0","2.26","56.0","165.0","381.0","20.0","1.05","0.272","0.438","0.6","10.4","0.225","0.155","3.088","1.029","0.265","144.0","0.0","144.0","144.0","0.0","0.0","166.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.124","0.061","0.326","0.0","120.0","1 cup","0.0","0.0","0.0","豆苗","蔬菜"
"11333","PEPPERS,SWT,GRN,RAW","93.89","20.0","0.86","0.17","0.43","4.64","1.7","2.4","10.0","0.34","10.0","20.0","175.0","3.0","0.13","0.066","0.122","0.0","80.4","0.057","0.028","0.48","0.099","0.224","10.0","0.0","10.0","10.0","5.5","0.0","370.0","18.0","0.0","21.0","208.0","7.0","0.0","341.0","0.37","0.0","0.0","7.4","0.058","0.008","0.062","0.0","149.0","1 cup, chopped","92.0","1 cup, sliced","18.0","彩椒","蔬菜"
"11352","POTATO,FLESH & SKN,RAW","79.34","77.0","2.02","0.09","1.08","17.47","2.2","0.78","12.0","0.78","23.0","57.0","421.0","6.0","0.29","0.108","0.153","0.3","19.7","0.08","0.032","1.054","0.296","0.295","16.0","0.0","16.0","16.0","12.1","0.0","2.0","0.0","0.0","0.0","1.0","0.0","0.0","8.0","0.01","0.0","0.0","1.9","0.026","0.002","0.043","0.0","369.0","1 Potato, large (3"" to 4-1/4"" dia)","213.0","1 Potato, medium (2-1/4"" to 3-1/4"" dia)","25.0","土豆","蔬菜"
"11430","RADISHES,ORIENTAL,RAW","94.62","18.0","0.6","0.1","0.58","4.1","1.6","2.5","27.0","0.4","16.0","23.0","227.0","21.0","0.15","0.115","0.038","0.7","22.0","0.02","0.02","0.2","0.138","0.046","28.0","0.0","28.0","28.0","7.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.3","0.03","0.017","0.045","0.0","338.0","1 radish,  (7"" long)","0.0","0.0","21.0","白萝卜","蔬菜"
"11445","SEAWEED,KELP,RAW","81.58","43.0","1.68","0.56","6.61","9.57","1.3","0.6","168.0","2.85","121.0","42.0","89.0","233.0","1.23","0.13","0.2","0.7","3.0","0.05","0.15","0.47","0.642","0.002","180.0","0.0","180.0","180.0","12.8","0.0","116.0","6.0","0.0","0.0","70.0","0.0","0.0","0.0","0.87","0.0","0.0","66.0","0.247","0.098","0.047","0.0","10.0","2 tbsp,  (1/8 cup)","0.0","0.0","0.0","海带","蔬菜"
